year,month,average
2368,2,1448.550717
2368,3,1448.235386
2368,4,1447.201785
2368,5,1443.853211
2368,6,1437.706886
2368,7,1432.638207
2368,8,1431.872047
2368,9,1434.328198
2368,10,1439.274472
2368,11,1443.77324
2368,12,1446.382078
2369,1,1447.684146
2369,2,1447.96975
2369,3,1447.654625
2369,4,1446.621337
2369,5,1443.273351
2369,6,1437.12784
2369,7,1432.059501
2369,8,1431.292998
2369,9,1433.748785
2369,10,1438.694609
2369,11,1443.192948
2369,12,1445.801552
2370,1,1447.103521
2370,2,1447.389157
2370,3,1447.074153
2370,4,1446.041083
2370,5,1442.693586
2370,6,1436.548788
2370,7,1431.480698
2370,8,1430.713775
2370,9,1433.169138
2370,10,1438.11447
2370,11,1442.612355
2370,12,1445.220717
2371,1,1446.522595
2371,2,1446.808282
2371,3,1446.493433
2371,4,1445.460626
2371,5,1442.113673
2371,6,1435.969656
2371,7,1430.901887
2371,8,1430.134628
2371,9,1432.589657
2371,10,1437.534588
2371,11,1442.032108
2371,12,1444.640308
2372,1,1445.942158
2372,2,1446.22794
2372,3,1445.913261
2372,4,1444.880697
2372,5,1441.53423
2372,6,1435.390888
2372,7,1430.323287
2372,8,1429.555477
2372,9,1432.009896
2372,10,1436.954101
2372,11,1441.450907
2372,12,1444.0586
2373,1,1445.360117
2373,2,1445.645755
2373,3,1445.331103
2373,4,1444.298768
2373,5,1440.952925
2373,6,1434.810585
2373,7,1429.743694
2373,8,1428.976125
2373,9,1431.430998
2373,10,1436.375796
2373,11,1440.873391
2373,12,1443.482184
2374,1,1444.784997
2374,2,1445.072063
2374,3,1444.758878
2374,4,1443.727997
2374,5,1440.383713
2374,6,1434.242936
2374,7,1429.176868
2374,8,1428.409123
2374,9,1430.863429
2374,10,1435.80719
2374,11,1440.303438
2374,12,1442.91081
2375,1,1444.212125
2375,2,1444.497673
2375,3,1444.182969
2375,4,1443.150635
2375,5,1439.805198
2375,6,1433.663582
2375,7,1428.596362
2375,8,1427.827011
2375,9,1430.279977
2375,10,1435.222635
2375,11,1439.718104
2375,12,1442.325169
2376,1,1443.626566
2376,2,1443.912552
2376,3,1443.598579
2376,4,1442.56725
2376,5,1439.22324
2376,6,1433.083405
2376,7,1428.017607
2376,8,1427.249094
2376,9,1429.702949
2376,10,1434.646457
2376,11,1439.14281
2376,12,1441.750931
2377,1,1443.053461
2377,2,1443.340615
2377,3,1443.027771
2377,4,1441.997503
2377,5,1438.654622
2377,6,1432.515904
2377,7,1427.45049
2377,8,1426.681392
2377,9,1429.134317
2377,10,1434.076469
2377,11,1438.571205
2377,12,1441.177691
2378,1,1442.478585
2378,2,1442.764166
2378,3,1442.449846
2378,4,1441.418278
2378,5,1438.074519
2378,6,1431.935373
2378,7,1426.86937
2378,8,1426.099394
2378,9,1428.551882
2378,10,1433.494025
2378,11,1437.989236
2378,12,1440.596767
2379,1,1441.899136
2379,2,1442.186532
2379,3,1441.874246
2379,4,1440.844854
2379,5,1437.503502
2379,6,1431.366867
2379,7,1426.302712
2379,8,1425.533639
2379,9,1427.986658
2379,10,1432.928831
2379,11,1437.423702
2379,12,1440.030761
2380,1,1441.332524
2380,2,1441.619241
2380,3,1441.306221
2380,4,1440.27611
2380,5,1436.934289
2380,6,1430.797453
2380,7,1425.732741
2380,8,1424.962619
2380,9,1427.414816
2380,10,1432.35638
2380,11,1436.850943
2380,12,1439.458104
2381,1,1440.760264
2381,2,1441.047606
2381,3,1440.735342
2381,4,1439.706065
2381,5,1436.365267
2381,6,1430.229542
2381,7,1425.165288
2381,8,1424.394711
2381,9,1426.846136
2381,10,1431.786498
2381,11,1436.279558
2381,12,1438.885163
2382,1,1440.18573
2382,2,1440.471509
2382,3,1440.157752
2382,4,1439.127131
2382,5,1435.785385
2382,6,1429.64914
2382,7,1424.584187
2382,8,1423.812609
2382,9,1426.263461
2382,10,1431.203682
2382,11,1435.697127
2382,12,1438.303727
2383,1,1439.605755
2383,2,1439.89337
2383,3,1439.581698
2383,4,1438.55333
2383,5,1435.214093
2383,6,1429.080481
2383,7,1424.01752
2383,8,1423.247005
2383,9,1425.698562
2383,10,1430.638983
2383,11,1435.132217
2383,12,1437.738426
2384,1,1439.039888
2384,2,1439.326819
2384,3,1439.014366
2384,4,1437.985191
2384,5,1434.645354
2384,6,1428.511369
2384,7,1423.447642
2384,8,1422.675837
2384,9,1425.12629
2384,10,1430.065795
2384,11,1434.558422
2384,12,1437.164468
2385,1,1438.466111
2385,2,1438.75352
2385,3,1438.441762
2385,4,1437.413466
2385,5,1434.074821
2385,6,1427.942257
2385,7,1422.87946
2385,8,1422.107855
2385,9,1424.55839
2385,10,1429.497755
2385,11,1433.990109
2385,12,1436.595934
2386,1,1437.897369
2386,2,1438.184596
2386,3,1437.872664
2386,4,1436.844225
2386,5,1433.505659
2386,6,1427.373372
2386,7,1422.310391
2386,8,1421.537962
2386,9,1423.987704
2386,10,1428.926262
2386,11,1433.417915
2386,12,1436.023322
2387,1,1437.324567
2387,2,1437.611833
2387,3,1437.300134
2387,4,1436.272133
2387,5,1432.934387
2387,6,1426.803261
2387,7,1421.741113
2387,8,1420.968993
2387,9,1423.419177
2387,10,1428.358252
2387,11,1432.850595
2387,12,1435.456994
2388,1,1436.759428
2388,2,1437.048022
2388,3,1436.737705
2388,4,1435.711097
2388,5,1432.374877
2388,6,1426.24532
2388,7,1421.184057
2388,8,1420.411893
2388,9,1422.861705
2388,10,1427.799969
2388,11,1432.291141
2388,12,1434.896227
2389,1,1436.197211
2389,2,1436.484279
2389,3,1436.172387
2389,4,1435.144227
2389,5,1431.806711
2389,6,1425.676138
2389,7,1420.613527
2389,8,1419.839554
2389,9,1422.287807
2389,10,1427.224767
2389,11,1431.715043
2389,12,1434.31979
2390,1,1435.620896
2390,2,1435.908501
2390,3,1435.597481
2390,4,1434.570496
2390,5,1431.234589
2390,6,1425.105973
2390,7,1420.044957
2390,8,1419.271977
2390,9,1421.721231
2390,10,1426.659096
2390,11,1431.150251
2390,12,1433.755995
2391,1,1435.058136
2391,2,1435.346786
2391,3,1435.036762
2391,4,1434.010705
2391,5,1430.675808
2391,6,1424.548218
2391,7,1419.487548
2391,8,1418.714016
2391,9,1421.162444
2391,10,1426.099125
2391,11,1430.588828
2391,12,1433.193064
2392,1,1434.493654
2392,2,1434.780776
2392,3,1434.469283
2392,4,1433.441894
2392,5,1430.106043
2392,6,1423.977907
2392,7,1418.916499
2392,8,1418.141914
2392,9,1420.589691
2392,10,1425.526135
2392,11,1430.016181
2392,12,1432.621465
2393,1,1433.923639
2393,2,1434.212762
2393,3,1433.903532
2393,4,1432.878564
2393,5,1429.545346
2393,6,1423.4199
2393,7,1418.360452
2393,8,1417.586787
2393,9,1420.034978
2393,10,1424.971151
2393,11,1429.460244
2393,12,1432.064086
2394,1,1433.364406
2394,2,1433.651391
2394,3,1433.339837
2394,4,1432.312499
2394,5,1428.977171
2394,6,1422.849966
2394,7,1417.788575
2394,8,1417.012723
2394,9,1419.459262
2394,10,1424.394392
2394,11,1428.883285
2394,12,1431.487935
2395,1,1432.789878
2395,2,1433.079152
2395,3,1432.770375
2395,4,1431.746165
2395,5,1428.414343
2395,6,1422.290839
2395,7,1417.232529
2395,8,1416.458804
2395,9,1418.907016
2395,10,1423.843162
2395,11,1428.332378
2395,12,1430.9368
2396,1,1432.238014
2396,2,1432.52617
2396,3,1432.215964
2396,4,1431.19014
2396,5,1427.856805
2396,6,1421.731962
2396,7,1416.671938
2396,8,1415.896044
2396,9,1418.342395
2396,10,1423.27704
2396,11,1427.765339
